img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40
Pieza_06_foto167;6;167;32.03125;32.03125;32.03125;16.5625;26.692708333333332;41.041666666666664;61.71875;90.0;90.0;94.73958333333333;74.609375;52.03125;17.161458333333332;11.71875;0.0;0.0;28.489583333333332;97.60416666666667;100.0;80.3125;17.34375;17.34375;17.34375;17.34375;17.34375;36.354166666666664;68.30729166666667;72.5;57.760416666666664;40.703125;39.114583333333336;10.208333333333334;0.0;0.0;18.567708333333332;62.8125;95.80729166666667;100.0;100.0;93.09895833333333
Pieza_06_foto168;6;168;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;48.59375;64.84375;81.09375;81.09375;81.09375;80.9765625;20.0;18.28125;0.0;0.0;0.0;0.0;0.0;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;78.125;78.59375;78.59375;78.59375;36.71875;14.9609375;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto169;6;169;18.75;19.25347222222222;50.55555555555556;55.625;28.802083333333332;8.76736111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.5;100.0;100.0;55.989583333333336;1.71875;1.71875;29.84375;28.177083333333332;15.32986111111111;31.09375;20.104166666666668;0.0;0.0;23.75;37.864583333333336;38.28125;11.684027777777779;0.0;0.0;13.57638888888889;100.0;97.88194444444444;90.46875;58.125;38.854166666666664;42.96875
Pieza_06_foto17;6;17;0.0;0.0;0.0;0.0;0.0;0.0;31.05902777777778;80.15625;75.20833333333333;71.40625;24.56597222222222;11.71875;28.76736111111111;49.6875;56.00694444444444;74.53125;74.42708333333333;24.23611111111111;0.0;0.0;0.0;0.0;1.3194444444444444;38.00347222222222;52.170138888888886;74.84375;77.82986111111111;89.21875;89.21875;79.73958333333333;48.298611111111114;26.37152777777778;9.288194444444445;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto173;6;173;0.0;0.0;0.0;0.0;2.956730769230769;17.259615384615383;45.67307692307692;58.91826923076923;61.18990384615385;40.0;19.84375;39.42307692307692;45.66105769230769;86.74278846153847;90.21634615384616;63.94230769230769;36.02163461538461;36.50240384615385;65.69711538461539;29.567307692307693;13.90625;17.1875;46.80288461538461;64.57932692307692;84.31490384615384;94.95192307692308;62.68028846153846;39.84375;42.48798076923077;51.03365384615385;62.11538461538461;54.27884615384615;19.567307692307693;7.524038461538462;0.21634615384615385;0.0;21.22596153846154;84.47115384615384;85.57692307692308;26.85096153846154
Pieza_06_foto174;6;174;0.0;0.0;0.0;40.68359375;49.6875;22.40234375;0.0;0.0;0.0;0.0;31.77734375;100.0;100.0;100.0;65.3125;7.5;7.5;7.5;0.9375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.1875;50.9375;57.96875;81.484375;87.8125;80.95703125;56.2890625;38.96484375;21.09375;21.09375;21.09375;1.25;0.0
Pieza_06_foto175;6;175;100.0;86.97916666666667;79.0625;91.84027777777777;100.0;87.43055555555556;71.71875;71.71875;61.64930555555556;49.0625;49.0625;49.0625;52.15277777777778;53.4375;41.05902777777778;24.53125;24.53125;23.020833333333332;22.65625;22.65625;100.0;91.875;81.71875;90.12152777777777;100.0;70.79861111111111;32.1875;32.1875;26.70138888888889;21.25;21.25;18.78472222222222;0.0;0.0;0.0;0.0;13.715277777777779;21.875;13.92361111111111;0.0
Pieza_06_foto176;6;176;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;92.98828125;45.46875;45.46875;45.46875;43.59375;13.90625;13.90625;13.90625;100.0;100.0;100.0;100.0;100.0;93.828125;72.34375;72.34375;72.34375;66.1328125;63.125;63.125;58.10546875;42.03125;42.03125;42.03125;39.70703125;3.14453125;0.0;0.0
Pieza_06_foto177;6;177;45.15625;45.15625;45.15625;66.60714285714286;98.08035714285714;100.0;84.59821428571429;68.28125;68.28125;68.83928571428571;66.42857142857143;59.107142857142854;53.370535714285715;49.6875;52.299107142857146;37.99107142857143;35.401785714285715;36.651785714285715;33.995535714285715;33.90625;93.125;93.125;93.37053571428571;95.37946428571429;100.0;84.93303571428571;70.06696428571429;66.62946428571429;84.62053571428571;81.78571428571429;71.20535714285714;70.29017857142857;65.89285714285714;57.47767857142857;45.29017857142857;31.049107142857142;17.34375;2.2767857142857144;0.0;0.0
Pieza_06_foto18;6;18;0.0;0.0;0.0;0.0;1.1197916666666667;4.635416666666667;4.84375;25.260416666666668;18.932291666666668;17.135416666666668;8.958333333333334;0.0;0.0;0.0;1.5885416666666667;32.03125;47.8125;47.8125;37.578125;27.34375;0.0;0.0;0.0;0.0;20.208333333333332;100.0;100.0;100.0;51.71875;48.4375;10.677083333333334;0.0;0.0;0.0;12.473958333333334;83.07291666666667;100.0;100.0;100.0;83.75
