img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70;pw_71;pw_72;pw_73;pw_74;pw_75;pw_76;pw_77;pw_78;pw_79;pw_80;pw_81;pw_82;pw_83;pw_84;pw_85;pw_86;pw_87;pw_88;pw_89;pw_90;pw_91;pw_92;pw_93;pw_94;pw_95;pw_96;pw_97;pw_98;pw_99;pw_100
Pieza_01_foto0;1;0;100.0;100.0;100.0;100.0;100.0;29.86111111111111;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;47.482638888888886;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;94.27083333333333;46.78819444444444;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;75.78125;12.32638888888889;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;70.83333333333333;34.375;32.11805555555556;24.21875;24.21875;100.0;100.0;100.0;100.0;100.0;94.53125;83.59375;83.59375;83.59375;83.59375;100.0;100.0;100.0;100.0;100.0;85.15625;6.163194444444445;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;45.486111111111114;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;68.22916666666667;10.590277777777779;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;74.13194444444444;0.0;0.0
Pieza_01_foto118;1;118;100.0;100.0;100.0;100.0;100.0;75.09765625;15.8203125;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;6.15234375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;97.8515625;30.76171875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;91.40625;4.00390625;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;32.2265625;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;74.4140625;22.16796875;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;71.875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;50.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;50.5859375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;95.60546875;11.03515625;0.0;0.0
Pieza_01_foto119;1;119;100.0;100.0;100.0;100.0;100.0;100.0;79.00390625;15.8203125;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;90.33203125;6.8359375;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;71.09375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;68.5546875;2.05078125;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;79.98046875;5.17578125;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;54.39453125;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;37.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;74.12109375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;81.4453125;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;76.07421875;0.0;0.0;0.0
Pieza_01_foto137;1;137;0.0;0.0;0.0;0.0;16.666666666666668;86.71875;100.0;100.0;100.0;100.0;0.0;0.0;21.70138888888889;66.40625;67.70833333333333;92.44791666666667;100.0;100.0;100.0;100.0;0.0;0.0;0.6944444444444444;90.01736111111111;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;88.88888888888889;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;63.802083333333336;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;35.59027777777778;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;44.44444444444444;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;19.010416666666668;99.82638888888889;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;72.48263888888889;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;66.66666666666667;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto138;1;138;0.0;0.0;7.34375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;89.21875;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;59.609375;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;50.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;56.328125;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;37.890625;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;10.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;7.5;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;10.9375;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto152;1;152;100.0;100.0;100.0;100.0;100.0;100.0;87.40234375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;44.921875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;45.1171875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;43.359375;0.0;0.0;0.0;100.0;100.0;33.59375;33.59375;91.69921875;100.0;68.65234375;0.0;0.0;0.0;100.0;100.0;96.875;96.875;99.609375;100.0;57.2265625;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;62.01171875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;81.15234375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;92.08984375;3.7109375;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;94.23828125;5.6640625;0.0;0.0
Pieza_01_foto153;1;153;100.0;100.0;100.0;100.0;100.0;82.46527777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;92.88194444444444;11.979166666666666;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;28.47222222222222;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;12.67361111111111;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;44.44444444444444;0.0;0.0;0.0;26.5625;26.5625;21.70138888888889;21.09375;73.69791666666667;100.0;46.614583333333336;0.0;0.0;0.0;71.09375;74.30555555555556;65.27777777777777;60.9375;86.97916666666667;100.0;62.06597222222222;0.0;0.0;0.0;42.96875;49.30555555555556;100.0;100.0;100.0;100.0;74.21875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;74.39236111111111;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;67.79513888888889;0.0;0.0;0.0
Pieza_01_foto167;1;167;0.0;0.0;0.0;56.770833333333336;72.65625;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;59.201388888888886;82.8125;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;14.322916666666666;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;5.381944444444445;89.84375;100.0;100.0;100.0;100.0;28.90625;28.90625;28.90625;28.90625;32.8125;85.06944444444444;100.0;100.0;100.0;100.0;64.0625;64.0625;64.0625;64.0625;93.22916666666667;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;15.45138888888889;81.25;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;66.66666666666667;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;40.104166666666664;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;6.336805555555555;96.61458333333333;100.0;62.93402777777778;52.34375
Pieza_01_foto168;1;168;0.0;0.0;0.0;0.0;26.38888888888889;100.0;100.0;100.0;70.57291666666667;42.96875;0.0;0.0;0.0;0.0;26.90972222222222;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;55.55555555555556;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;21.354166666666668;43.75;81.25;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;73.52430555555556;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;60.15625;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;49.392361111111114;84.02777777777777;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;35.06944444444444;85.41666666666667;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;49.392361111111114;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;39.93055555555556;100.0;100.0;100.0;100.0
Pieza_01_foto184;1;184;100.0;100.0;100.0;100.0;100.0;80.20833333333333;27.083333333333332;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;97.56944444444444;52.083333333333336;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;81.85763888888889;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;81.94444444444444;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;98.87152777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;19.791666666666668;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;22.22222222222222;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;30.12152777777778;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;94.27083333333333;7.986111111111111;0.0;0.0;0.0
