img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70
Pieza_05_foto170;5;170;22.96875;22.96875;22.34375;21.015625;20.3515625;20.46875;21.9140625;24.1796875;26.6015625;31.25;39.140625;40.78125;42.265625;43.8671875;45.6640625;47.5;49.0625;50.5859375;52.1484375;53.59375;54.6484375;54.6875;41.953125;37.6953125;26.40625;26.0546875;29.53125;31.3671875;34.8828125;39.8828125;42.109375;43.828125;38.984375;17.421875;30.15625;0.0;0.0;0.0;0.0;0.0;0.0;4.1796875;16.71875;16.71875;17.5;20.15625;19.84375;19.84375;19.84375;7.109375;18.4375;18.4375;18.4375;18.4375;14.4140625;12.8125;12.8125;7.0703125;19.21875;84.921875;92.34375;92.34375;92.34375;79.0234375;42.9296875;27.5;27.5;4.8828125;0.0;0.0
Pieza_05_foto171;5;171;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;39.921875;64.21875;90.46875;94.21875;94.21875;94.21875;94.21875;94.21875;94.21875;90.234375;68.59375;36.796875;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;32.65625;32.65625;32.65625;32.65625;32.65625;32.65625;32.65625;32.65625;36.796875;53.359375;66.640625;88.984375;99.140625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;80.859375;77.5;77.5;67.96875;42.03125;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
Pieza_05_foto172;5;172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8125;8.75;9.0625;9.0625;14.739583333333334;20.0;25.520833333333332;26.666666666666668;27.8125;39.6875;50.416666666666664;56.40625;59.53125;50.46875;49.84375;44.6875;42.5;42.5;42.5;45.052083333333336;50.15625;50.625;50.625;0.0;0.0;0.0;0.0;0.0;0.0;12.083333333333334;23.802083333333332;42.239583333333336;57.604166666666664;66.25;81.19791666666667;94.16666666666667;100.0;100.0;91.77083333333333;87.65625;87.65625;83.69791666666667;58.125;58.125;61.979166666666664;69.6875;69.6875;69.6875;69.375;66.35416666666667;63.90625;76.77083333333333;76.09375;76.09375;76.09375;76.09375;76.09375;76.09375
Pieza_05_foto173;5;173;55.46875;55.46875;55.46875;55.46875;55.46875;55.46875;55.46875;55.46875;58.671875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;66.875;71.484375;95.078125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;26.71875;26.71875;26.71875;26.71875;26.71875;26.71875;26.71875;26.71875;26.71875;26.71875;26.71875;26.71875;26.71875;43.671875;60.625;60.625;65.3125;70.390625;85.625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;88.59375;73.28125;66.5625;56.953125
Pieza_05_foto178;5;178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.790178571428571;61.71875;61.71875;46.875;45.111607142857146;44.732142857142854;34.21875;38.549107142857146;43.59375;41.830357142857146;21.741071428571427;12.34375;12.34375;12.34375;11.116071428571429;2.1875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.883928571428573;54.55357142857143;60.78125;41.25;36.25;37.410714285714285;40.3125;55.3125;58.30357142857143;47.34375;47.79017857142857;70.40178571428571;93.05803571428571;100.0;76.29464285714286;55.825892857142854;40.9375;42.924107142857146;53.61607142857143;41.049107142857146;37.34375;27.209821428571427;21.09375;59.263392857142854;82.72321428571429;66.78571428571429;35.825892857142854;29.84375;29.84375;18.28125;0.0;0.0
Pieza_05_foto179;5;179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.1875;44.84375;53.4375;53.4375;53.4375;53.4375;53.4375;53.4375;51.875;36.5625;12.421875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto18;5;18;0.0;0.0;0.0;0.0;0.0;0.0;14.53125;27.34375;59.53125;59.84375;59.84375;61.875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;91.25;78.4375;68.90625;51.5625;49.375;47.1875;43.59375;43.59375;43.59375;43.59375;43.59375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.03125;57.96875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;88.4375;75.78125;75.78125;75.78125;75.78125;75.78125
Pieza_05_foto184;5;184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.875;2.8125;34.791666666666664;51.71875;51.71875;51.71875;51.71875;51.71875;37.135416666666664;29.635416666666668;29.53125;29.53125;39.114583333333336;54.895833333333336;63.697916666666664;73.38541666666667;100.0;100.0;100.0;85.52083333333333;85.15625;85.15625;85.15625;85.15625;85.36458333333333;100.0;35.15625;35.15625;35.15625;35.15625;35.15625;35.15625;35.15625;33.4375;33.28125;41.302083333333336;53.333333333333336;59.635416666666664;70.15625;94.0625;94.0625;94.0625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_05_foto185;5;185;43.4375;43.4375;40.46875;17.890625;13.90625;13.90625;18.046875;71.9140625;95.859375;100.0;100.0;100.0;63.7890625;37.5;36.71875;36.71875;36.71875;36.71875;23.59375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;89.5703125;86.09375;86.09375;86.09375;81.40625;70.4296875;73.90625;73.90625;73.90625;89.9609375;98.1640625;76.8359375;75.625;75.625;75.625;75.625;75.625;75.625;75.625;74.609375;73.75;73.75;73.75;73.75;73.75;73.75;66.8359375;65.46875;59.7265625;42.0703125;30.0;30.0
Pieza_05_foto186;5;186;78.125;78.125;78.125;78.125;78.125;78.125;78.125;48.0078125;37.96875;37.96875;23.75;19.6875;19.6875;19.6875;44.53125;45.0;45.0;45.0;28.3984375;20.625;29.2578125;43.59375;43.59375;43.59375;43.28125;13.5546875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.5625;46.5625;46.5625;46.5625;46.5625;51.015625;93.4375;93.4375;93.4375;93.4375;93.4375;93.4375;93.4375;94.6484375;100.0;100.0;100.0;100.0;98.75;97.5;97.5;97.5;97.5;97.5;97.5;89.921875;68.59375;68.59375;68.59375;68.59375;68.59375;68.59375;68.59375;53.828125;47.03125
