img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_01_foto0;1;0;100.0;100.0;81.82291666666667;12.56076388888889;4.84375;100.0;100.0;97.96875;47.17881944444444;16.71875
Pieza_01_foto118;1;118;100.0;100.0;96.435546875;8.896484375;0.0;100.0;100.0;100.0;37.568359375;0.0
Pieza_01_foto119;1;119;100.0;100.0;100.0;41.884765625;0.0;100.0;100.0;100.0;32.353515625;0.0
Pieza_01_foto137;1;137;0.0;39.120065789473685;89.88486842105263;100.0;100.0;0.0;15.888157894736842;98.24013157894737;100.0;100.0
Pieza_01_foto138;1;138;0.0;44.04761904761905;100.0;100.0;100.0;0.0;15.84077380952381;100.0;100.0;100.0
Pieza_01_foto152;1;152;100.0;86.71875;99.169921875;28.9453125;0.0;100.0;99.375;99.9609375;39.609375;0.0
Pieza_01_foto153;1;153;100.0;100.0;97.53472222222223;9.756944444444445;0.0;69.07986111111111;76.90104166666667;96.06770833333333;32.50868055555556;0.0
Pieza_01_foto167;1;167;5.78125;19.95888157894737;76.68585526315789;100.0;100.0;12.8125;12.927631578947368;52.1875;98.9967105263158;90.46875
Pieza_01_foto168;1;168;0.0;10.3125;74.51480263157895;99.55592105263158;89.25164473684211;0.0;0.0;54.004934210526315;100.0;100.0
Pieza_01_foto184;1;184;100.0;100.0;91.93576388888889;7.916666666666667;0.0;100.0;100.0;99.31423611111111;8.012152777777779;0.0
Pieza_01_foto185;1;185;100.0;100.0;98.251953125;10.498046875;0.0;100.0;100.0;100.0;30.60546875;0.0
Pieza_01_foto202;1;202;0.0;37.26222826086956;81.71875;99.20516304347827;100.0;0.0;13.817934782608695;73.43070652173913;100.0;100.0
Pieza_01_foto203;1;203;40.607638888888886;86.68402777777777;95.57291666666667;27.8125;35.53819444444444;61.25;65.35590277777777;100.0;62.38715277777778;44.53125
Pieza_01_foto219;1;219;100.0;98.22916666666667;11.942708333333334;12.71875;1.0208333333333333;100.0;78.56770833333333;0.0;7.703125;0.0
Pieza_01_foto220;1;220;100.0;89.2824074074074;5.063657407407407;6.6782407407407405;2.644675925925926;100.0;68.2175925925926;0.0;26.01851851851852;3.1018518518518516
Pieza_01_foto236;1;236;0.0;0.0;26.15327380952381;100.0;100.0;0.0;29.90327380952381;68.79464285714286;100.0;100.0
Pieza_01_foto237;1;237;0.0;63.225;100.0;100.0;100.0;0.0;60.86875;70.91875;91.54375;98.225
Pieza_01_foto254;1;254;100.0;100.0;29.57175925925926;16.42939814814815;0.5902777777777778;100.0;92.54629629629629;6.359953703703703;0.0;0.0
Pieza_01_foto255;1;255;100.0;100.0;100.0;39.14930555555556;0.0;100.0;100.0;90.26041666666667;12.152777777777779;0.0
Pieza_01_foto276;1;276;0.0;6.77734375;92.79296875;100.0;100.0;0.0;23.65234375;100.0;100.0;100.0
Pieza_01_foto277;1;277;0.0;0.0;79.69618055555556;100.0;100.0;0.0;3.8368055555555554;99.0625;100.0;100.0
Pieza_01_foto294;1;294;7.8125;40.8984375;96.4453125;52.5390625;33.90625;27.65625;71.337890625;53.8671875;0.0;0.0
Pieza_01_foto295;1;295;100.0;86.6015625;4.910714285714286;37.896205357142854;7.918526785714286;88.00223214285714;77.55022321428571;14.185267857142858;24.436383928571427;0.0
Pieza_01_foto318;1;318;0.0;0.0;78.52430555555556;100.0;100.0;0.0;9.348958333333334;98.10763888888889;100.0;100.0
Pieza_01_foto319;1;319;0.0;47.745535714285715;94.6875;100.0;100.0;0.0;61.22767857142857;100.0;100.0;100.0
Pieza_01_foto342;1;342;0.0;0.0;33.66319444444444;98.24652777777777;100.0;0.0;0.0;1.8576388888888888;92.70833333333333;100.0
Pieza_01_foto343;1;343;100.0;76.62388392857143;5.139508928571429;29.838169642857142;0.0;100.0;79.92745535714286;9.224330357142858;72.34375;9.536830357142858
Pieza_01_foto344;1;344;100.0;100.0;98.61111111111111;11.788194444444445;0.0;100.0;100.0;99.18402777777777;15.225694444444445;0.0
Pieza_01_foto368;1;368;0.0;10.425347222222221;94.28819444444444;89.27083333333333;85.15625;0.0;10.512152777777779;92.56076388888889;100.0;100.0
Pieza_01_foto369;1;369;0.0;3.96484375;97.44140625;100.0;100.0;18.28125;34.66796875;99.19921875;92.96875;93.662109375
Pieza_01_foto38;1;38;100.0;100.0;83.42881944444444;2.3697916666666665;0.0;100.0;100.0;99.34895833333333;34.270833333333336;0.0
Pieza_01_foto39;1;39;100.0;100.0;96.328125;20.538194444444443;0.0;100.0;100.0;100.0;41.29340277777778;0.0
Pieza_01_foto391;1;391;100.0;47.974330357142854;26.199776785714285;64.94419642857143;19.464285714285715;100.0;74.3359375;7.299107142857143;53.130580357142854;0.0
Pieza_01_foto392;1;392;100.0;91.09933035714286;0.6696428571428571;0.0;0.0;100.0;87.00334821428571;11.244419642857142;49.93861607142857;8.069196428571429
Pieza_01_foto415;1;415;9.140625;44.08203125;82.7734375;0.0;0.0;6.591796875;10.146484375;66.884765625;19.033203125;0.0
Pieza_01_foto416;1;416;0.0;25.297619047619047;79.12946428571429;95.0;100.0;0.0;41.93452380952381;76.1235119047619;98.81696428571429;72.07589285714286
Pieza_01_foto437;1;437;100.0;100.0;63.20723684210526;16.373355263157894;4.152960526315789;100.0;100.0;98.1907894736842;22.730263157894736;0.0
Pieza_01_foto438;1;438;100.0;43.323479729729726;11.54983108108108;1.4611486486486487;0.0;100.0;51.554054054054056;5.86570945945946;4.586148648648648;19.39189189189189
