img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70;pw_71;pw_72;pw_73;pw_74;pw_75;pw_76;pw_77;pw_78;pw_79;pw_80;pw_81;pw_82;pw_83;pw_84;pw_85;pw_86;pw_87;pw_88;pw_89;pw_90;pw_91;pw_92;pw_93;pw_94;pw_95;pw_96;pw_97;pw_98;pw_99;pw_100;pw_101;pw_102;pw_103;pw_104;pw_105;pw_106;pw_107;pw_108;pw_109;pw_110;pw_111;pw_112;pw_113;pw_114;pw_115;pw_116;pw_117;pw_118;pw_119;pw_120;pw_121;pw_122;pw_123;pw_124;pw_125
Pieza_03_foto444;3;444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.21875;55.078125;55.078125;55.078125;55.078125;55.078125;55.078125;55.078125;55.078125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.328125;45.3125;45.3125;45.3125;45.3125;91.50390625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;6.15234375;17.87109375;31.4453125;42.08984375;49.12109375;53.515625;80.46875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;11.9140625;25.0;34.9609375;66.2109375;66.796875;66.796875;66.796875;74.31640625;99.90234375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.07421875;1.5625;1.5625;16.9921875;71.97265625;73.4375;73.4375;73.4375;69.43359375;57.421875;57.421875;57.421875
Pieza_03_foto445;3;445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.33203125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;85.546875;85.546875;85.546875;85.546875;96.38671875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.5078125;98.14453125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.71484375;54.6875;89.84375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.7578125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.58984375;16.6015625;22.16796875;49.70703125;57.8125;57.8125;57.8125;57.8125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto463;3;463;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.02083333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.40625;46.875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.05729166666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.36979166666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.265625;90.88541666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto464;3;464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.510416666666667;45.3125;73.95833333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.25;49.609375;79.81770833333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.572916666666668;75.13020833333333;89.453125;94.53125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.630208333333334;90.10416666666667;100.0;100.0;100.0;100.0;100.0;97.65625;96.484375;96.484375;96.484375;96.484375;96.484375;97.65625;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.916666666666664;100.0;100.0;100.0;100.0;100.0;83.33333333333333;75.0;75.0;75.0;75.0;75.0;83.33333333333333;100.0;100.0;100.0
Pieza_03_foto483;3;483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.921875;28.671875;28.90625;28.90625;17.34375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.421875;75.546875;98.046875;98.046875;98.046875;99.21875;100.0;100.0;100.0;98.75;96.875;96.875;91.796875;91.796875;91.796875;93.203125;94.140625;94.140625;94.140625;0.0;0.0;0.0;0.0;0.0;0.0;96.640625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;22.5;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.640625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;59.765625;59.765625;58.828125;55.078125;55.078125;55.078125
Pieza_03_foto484;3;484;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.09375;46.09375;46.09375;46.09375;46.09375;46.09375;46.09375;46.09375;46.09375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.447916666666664;60.677083333333336;78.125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.567708333333336;75.65104166666667;75.78125;91.92708333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.953125;67.05729166666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.234375;73.828125;81.51041666666667;85.15625;85.15625;85.15625;85.15625;95.05208333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto501;3;501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.830357142857146;58.984375;57.47767857142857;48.4375;48.4375;62.220982142857146;71.484375;87.77901785714286;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;9.709821428571429;59.151785714285715;67.41071428571429;71.31696428571429;74.72098214285714;79.57589285714286;86.328125;95.3125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;27.232142857142858;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;95.47991071428571;91.796875;91.796875;91.796875;0.0;0.0;0.0;0.0;35.658482142857146;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;81.02678571428571;49.720982142857146;46.875;46.875;0.0;0.0;0.0;0.0;27.678571428571427;79.85491071428571;85.21205357142857;85.546875;81.30580357142857;70.703125;70.703125;70.703125;97.65625;100.0;93.47098214285714;76.5625;59.988839285714285;2.34375;2.34375;11.774553571428571;68.359375;74.33035714285714;100.0;100.0;100.0
Pieza_03_foto502;3;502;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.41145833333333;100.0;100.0;100.0;100.0;100.0;84.63541666666667;53.90625;53.90625;53.90625;53.385416666666664;52.34375;52.34375;52.34375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.171875;25.651041666666668;52.083333333333336;72.91666666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.677083333333334;42.1875;51.953125;59.244791666666664;64.0625;67.83854166666667;71.09375;76.30208333333333;80.859375;90.88541666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.53125;31.380208333333332;33.984375;36.588541666666664;42.708333333333336;57.682291666666664;72.265625;76.04166666666667;80.078125;89.71354166666667;97.265625;97.265625;98.17708333333333;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.234375;79.03645833333333;82.421875;84.375;84.375;84.375;84.375;84.375;79.16666666666667;68.75;68.75;68.75;68.75;68.75;68.75;79.55729166666667
Pieza_03_foto518;3;518;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.984375;26.953125;26.953125;26.953125;26.953125;27.34375;40.625;40.625;40.625;40.625;58.723958333333336;65.625;65.625;65.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4322916666666667;23.4375;68.359375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.713541666666666;96.22395833333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.59895833333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.546875;43.75;54.557291666666664;66.015625;72.91666666666667;77.734375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto519;3;519;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.791666666666668;25.0;29.296875;34.375;41.40625;41.40625;41.40625;41.40625;41.40625;41.40625;41.40625;41.40625;41.40625;41.40625;41.40625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.026041666666666;87.23958333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.182291666666668;97.13541666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.963541666666664;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
