img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30
Pieza_03_foto429;3;429;17.8125;17.8125;10.546875;8.125;14.84375;34.609375;42.265625;63.1640625;68.0078125;77.03125;83.7109375;79.84375;77.8125;77.8125;77.8125;0.0;0.0;0.0;0.0;0.0;0.0;5.78125;56.015625;68.4375;77.34375;88.2421875;84.3359375;81.5625;81.5625;81.5625
Pieza_03_foto430;3;430;43.59375;35.954861111111114;34.739583333333336;83.69791666666667;100.0;68.50694444444444;56.857638888888886;54.34027777777778;54.21875;55.572916666666664;69.46180555555556;87.65625;79.32291666666667;51.71875;51.71875;42.1875;42.1875;42.1875;82.76041666666667;100.0;57.916666666666664;32.65625;30.13888888888889;28.125;34.826388888888886;58.28125;52.43055555555556;35.520833333333336;27.03125;27.03125
Pieza_03_foto444;3;444;0.0;0.0;0.0;0.0;0.0;0.42410714285714285;15.446428571428571;38.125;38.125;66.76339285714286;82.03125;82.03125;82.03125;82.03125;85.37946428571429;0.0;0.0;0.0;13.928571428571429;33.526785714285715;46.183035714285715;46.71875;56.25;60.625;72.03125;89.375;89.375;85.71428571428571;82.96875;82.96875
Pieza_03_foto445;3;445;0.0;0.0;0.0;0.0;5.379464285714286;64.0625;100.0;100.0;100.0;100.0;100.0;96.69642857142857;94.21875;95.04464285714286;100.0;0.0;0.0;0.0;0.0;16.763392857142858;66.85267857142857;77.34375;83.125;83.125;97.58928571428571;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto463;3;463;0.0;0.0;0.0;0.0;0.0;3.4114583333333335;50.260416666666664;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;31.927083333333332;98.17708333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto464;3;464;0.0;0.0;0.0;0.0;0.0;10.03125;61.25;98.59375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;52.15625;100.0;100.0;100.0;90.875;88.59375;88.59375;88.59375;100.0;100.0
Pieza_03_foto483;3;483;0.0;0.0;0.0;4.4921875;41.66015625;59.21875;59.21875;68.10546875;71.5625;68.359375;58.75;57.2265625;56.71875;57.3046875;57.65625;0.0;0.0;0.0;5.41015625;68.125;100.0;100.0;100.0;100.0;100.0;100.0;97.98828125;83.90625;83.203125;82.03125
Pieza_03_foto484;3;484;0.0;0.0;0.0;0.0;0.0;4.713541666666667;18.776041666666668;46.145833333333336;78.4375;78.4375;78.4375;78.4375;78.4375;81.19791666666667;81.25;0.0;0.0;0.0;0.0;0.0;46.614583333333336;93.33333333333333;94.0625;96.04166666666667;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto501;3;501;0.0;0.0;10.46875;45.703125;48.841145833333336;51.666666666666664;65.40364583333333;83.59375;79.7265625;83.359375;91.4453125;100.0;100.0;100.0;100.0;0.0;0.0;23.671875;93.125;94.21875;88.77604166666667;88.28125;99.453125;96.1328125;84.28385416666667;60.9375;71.94010416666667;81.94010416666667;75.46875;75.46875
Pieza_03_foto502;3;502;0.0;0.0;0.0;2.3697916666666665;33.90625;72.265625;100.0;100.0;96.92708333333333;81.5625;81.45833333333333;80.9375;80.9375;80.9375;80.9375;0.0;0.0;0.0;0.0;13.515625;40.859375;54.609375;61.041666666666664;76.875;78.72395833333333;84.89583333333333;86.58854166666667;95.91145833333333;100.0;100.0
Pieza_03_foto518;3;518;0.0;0.0;0.0;0.0;2.3958333333333335;26.015625;64.453125;70.78125;73.59375;76.25;79.86979166666667;86.25;86.25;82.86458333333333;76.09375;0.0;0.0;0.0;0.0;0.546875;66.97916666666667;84.11458333333333;90.13020833333333;100.0;100.0;100.0;100.0;97.99479166666667;87.96875;87.96875
Pieza_03_foto519;3;519;0.0;0.0;0.0;0.0;0.0;3.25;64.90625;71.75;75.5625;76.5625;76.5625;76.5625;76.5625;76.5625;76.5625;0.0;0.0;0.0;0.0;0.0;32.28125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto533;3;533;0.0;0.0;0.0;0.0;2.34375;40.90625;94.5;100.0;100.0;100.0;93.8125;84.53125;84.53125;84.53125;84.53125;0.0;0.0;0.0;0.0;6.65625;54.75;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto592;3;592;71.5625;71.5625;71.5625;71.5625;71.5625;97.5;100.0;100.0;100.0;100.0;93.75;27.09375;12.8125;12.8125;12.8125;33.75;33.75;33.75;38.75;44.6875;53.53125;62.59375;80.5625;85.9375;85.9375;52.09375;35.03125;16.5;15.625;15.625
Pieza_03_foto593;3;593;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;92.60416666666667;73.88020833333333;61.328125;50.0;50.0;50.0;50.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;78.59375;53.90625;51.09375;49.6875;41.979166666666664;38.125;38.125;38.125
Pieza_03_foto594;3;594;21.5625;21.5625;21.5625;21.5625;17.875;11.71875;35.4375;53.25;66.875;76.75;77.96875;77.96875;77.96875;77.96875;77.96875;18.90625;18.90625;18.90625;18.90625;18.90625;28.84375;68.59375;71.5625;73.75;76.71875;76.71875;76.71875;59.4375;55.15625;55.15625
Pieza_03_foto595;3;595;50.15625;49.0625;43.59375;43.59375;43.59375;75.9375;89.73958333333333;90.0;90.0;77.86458333333333;73.59375;73.25520833333333;71.5625;71.5625;71.5625;57.34375;55.3125;29.947916666666668;23.90625;23.90625;82.47395833333333;100.0;100.0;78.85416666666667;55.677083333333336;51.067708333333336;43.90625;28.932291666666668;27.1875;27.1875
