img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70;pw_71;pw_72;pw_73;pw_74;pw_75
Pieza_13_foto243;13;243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.796875;37.03125;54.21875;61.875;58.984375;57.65625;28.203125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.09375;100.0;100.0;100.0;95.9375;84.765625;84.765625;84.765625;84.765625;84.765625;0.0;0.0;0.0;0.0;0.0;0.0;86.484375;100.0;100.0;100.0;54.6875;43.359375;43.359375;66.015625;100.0;0.0;0.0;0.0;0.0;0.0;0.0;36.953125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto244;13;244;0.0;0.0;0.0;0.0;0.0;4.0625;10.15625;10.15625;10.15625;2.734375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.515625;90.78125;100.0;100.0;89.296875;75.390625;75.390625;75.390625;75.390625;75.390625;0.0;0.0;0.0;0.0;0.0;0.0;59.0625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;25.78125;95.625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.75;100.0;100.0;100.0;43.359375;43.359375;43.359375;77.34375
Pieza_13_foto255;13;255;0.0;0.0;0.0;0.0;0.0;32.03125;57.8125;57.8125;57.8125;5.078125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.328125;100.0;100.0;100.0;79.53125;48.828125;48.828125;48.828125;48.828125;48.828125;0.0;0.0;0.0;0.0;0.0;0.0;67.5;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;14.53125;92.421875;100.0;100.0;100.0;92.34375;61.71875;61.71875;61.71875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.703125;100.0;100.0;100.0;98.828125;94.140625;94.140625;94.140625
Pieza_13_foto256;13;256;0.0;0.0;0.0;0.0;14.518229166666666;97.20052083333333;100.0;100.0;5.46875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.5625;100.0;100.0;94.53125;91.796875;91.796875;91.796875;91.796875;91.796875;91.796875;0.0;0.0;0.0;0.0;0.0;19.3359375;95.3125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;57.877604166666664;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;6.705729166666667;91.6015625;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto267;13;267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.903645833333332;69.53125;69.53125;46.354166666666664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.40625;98.046875;98.046875;75.84635416666667;50.390625;50.390625;50.390625;50.390625;54.8828125;57.421875;0.0;0.0;0.0;0.0;0.0;7.161458333333333;91.27604166666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;46.875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9114583333333334;92.7734375;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto268;13;268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.044270833333336;85.9375;85.9375;48.177083333333336;14.84375;14.84375;14.84375;63.736979166666664;67.1875;67.1875;0.0;0.0;0.0;0.0;0.0;10.807291666666666;89.71354166666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;63.28125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5625;92.1875;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto278;13;278;0.0;16.6748046875;78.466796875;29.296875;16.4794921875;0.0;0.0;6.25;49.609375;2.5634765625;0.0;0.0;0.0;0.0;0.0;0.0;5.7373046875;99.6337890625;100.0;68.9697265625;8.1298828125;64.35546875;63.3544921875;100.0;58.740234375;50.0;73.7060546875;67.7490234375;62.109375;54.296875;0.0;0.0;78.0517578125;100.0;100.0;99.4384765625;91.015625;91.015625;91.552734375;94.3603515625;95.5078125;67.96875;63.3056640625;56.6650390625;31.640625;0.0;0.0;52.2216796875;100.0;100.0;95.1171875;11.42578125;32.71484375;56.9091796875;48.3154296875;12.939453125;0.0;8.49609375;31.005859375;0.0;0.0;0.0;28.7353515625;100.0;100.0;100.0;100.0;100.0;87.59765625;50.390625;42.7978515625;28.466796875;61.5234375;31.0791015625;30.859375
Pieza_13_foto279;13;279;0.0;0.0;0.0;15.290178571428571;100.0;100.0;62.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.71428571428571;100.0;92.1875;72.65625;72.65625;72.65625;67.578125;67.578125;67.578125;67.578125;67.578125;0.0;0.0;0.0;0.0;33.314732142857146;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;71.14955357142857;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;28.738839285714285;100.0;100.0;100.0;100.0;100.0;100.0;42.96875;42.96875;42.96875
Pieza_13_foto289;13;289;0.0;0.0;0.0;0.0;0.0;41.71875;56.640625;56.640625;56.40625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.265625;100.0;100.0;100.0;84.6875;83.203125;83.203125;81.171875;75.390625;75.390625;0.0;0.0;0.0;0.0;0.0;1.71875;20.234375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;12.578125;89.0625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.9375;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto290;13;290;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.203125;86.328125;86.328125;79.53125;0.78125;0.0;0.0;27.109375;76.953125;76.953125;0.0;0.0;0.0;0.0;0.0;35.390625;100.0;100.0;100.0;66.25;57.8125;57.8125;74.6875;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;57.734375;100.0;100.0;100.0;98.4375;96.09375;96.09375;96.09375;96.09375;0.0;0.0;0.0;0.0;0.0;0.0;5.390625;87.34375;100.0;100.0;88.984375;56.640625;54.296875;54.296875;54.296875
