img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50
Pieza_12_foto789;12;789;33.90625;33.90625;33.90625;33.90625;33.90625;33.90625;33.90625;33.90625;33.90625;86.66666666666667;100.0;100.0;100.0;100.0;100.0;77.08333333333333;14.21875;14.21875;14.21875;14.21875;14.21875;14.21875;14.21875;13.489583333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.333333333333336;92.39583333333333;100.0;100.0;100.0;100.0;92.55208333333333;27.604166666666668;14.53125;13.28125;11.979166666666666;0.0;0.0;0.0;0.0;0.0
Pieza_12_foto790;12;790;0.0;0.0;0.0;0.0;10.208333333333334;17.5;17.5;17.5;17.5;78.22916666666667;100.0;100.0;100.0;100.0;100.0;30.989583333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0625;54.791666666666664;100.0;100.0;100.0;100.0;100.0;43.697916666666664;5.260416666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_12_foto807;12;807;13.4375;13.4375;13.4375;13.4375;13.4375;15.572916666666666;38.802083333333336;39.0625;39.0625;39.0625;40.833333333333336;100.0;100.0;100.0;100.0;100.0;95.52083333333333;28.4375;20.3125;20.3125;20.3125;19.53125;9.739583333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2291666666666665;88.69791666666667;100.0;100.0;100.0;100.0;94.375;19.635416666666668;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_12_foto95;12;95;0.0;0.0;0.0;0.0;0.0;0.0;12.40625;39.15625;65.09375;91.46875;100.0;94.875;87.1875;87.1875;87.1875;95.1875;100.0;100.0;100.0;83.03125;71.71875;48.125;50.4375;59.6875;59.6875;0.0;0.0;0.0;0.0;0.0;4.59375;38.5625;88.53125;100.0;100.0;100.0;87.96875;87.96875;86.90625;58.53125;43.5;15.03125;8.75;10.875;18.5;27.8125;63.78125;85.15625;85.15625;85.15625
Pieza_12_foto96;12;96;0.0;0.0;2.28125;12.03125;12.8125;13.8125;37.28125;66.1875;88.34375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;97.0625;90.0625;79.6875;79.6875;81.875;87.03125;87.03125;0.0;0.0;0.0;0.0;0.0;0.0;36.21875;97.28125;100.0;100.0;96.90625;81.03125;74.9375;74.0625;74.0625;74.0625;77.75;77.5;77.5;72.78125;47.84375;44.375;44.375;44.375;44.375
Pieza_12_foto97;12;97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.53125;42.78125;58.875;84.625;94.25;100.0;100.0;100.0;100.0;100.0;84.53125;62.96875;59.0625;56.28125;50.625;50.625;50.625;50.625;0.0;0.0;0.0;0.0;0.0;2.90625;22.375;54.90625;86.46875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;84.0625;25.125;0.0;0.0;0.0;0.0;0.0
Pieza_13_foto0;13;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.989583333333332;28.385416666666668;29.947916666666668;47.96875;48.28125;48.28125;48.28125;48.28125;48.28125;44.583333333333336;30.052083333333332;3.8020833333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.78125;80.67708333333333;87.86458333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;91.25;91.25;91.25;91.25;91.25
Pieza_13_foto10;13;10;81.5625;81.5625;81.5625;81.5625;81.5625;81.5625;81.5625;79.21875;38.020833333333336;36.5625;36.5625;36.5625;36.5625;36.145833333333336;34.84375;26.71875;22.8125;22.8125;22.8125;22.8125;22.8125;22.8125;22.8125;22.8125;22.8125;100.0;100.0;100.0;100.0;88.28125;88.28125;84.11458333333333;82.03125;82.03125;85.9375;93.75;93.75;93.75;93.75;93.75;73.69791666666667;40.729166666666664;22.395833333333332;18.90625;18.90625;18.90625;18.90625;19.21875;19.6875;19.6875
Pieza_13_foto107;13;107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9270833333333333;40.885416666666664;53.177083333333336;54.166666666666664;55.0;55.0;62.239583333333336;67.34375;67.34375;67.34375;67.34375;67.34375;62.395833333333336;57.03125;57.03125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0208333333333335;25.625;75.10416666666667;75.78125;76.09375;76.09375;76.09375;75.98958333333333;69.47916666666667;45.625;18.177083333333332;6.5625;6.5625;6.5625;6.5625
Pieza_13_foto108;13;108;0.0;0.0;0.0;0.0;0.0;5.25;8.75;8.75;8.75;8.53125;7.65625;30.65625;49.78125;59.65625;60.75;62.5;62.5;62.5;61.5;61.09375;61.09375;44.4375;26.25;26.25;26.25;0.0;0.0;0.0;0.0;0.0;17.5;93.75;100.0;100.0;97.4375;87.1875;87.1875;87.1875;92.3125;100.0;91.9375;86.5625;86.5625;86.5625;86.5625;86.5625;67.1875;41.15625;39.84375;40.0
Pieza_13_foto11;13;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.84375;46.40625;46.40625;46.40625;46.40625;46.40625;42.447916666666664;16.875;16.875;16.875;16.875;16.875;16.875;16.875;16.875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.114583333333334;100.0;100.0;100.0;100.0;100.0;100.0;100.0;92.39583333333333;88.59375;88.59375;88.59375;88.59375;88.59375;88.59375
Pieza_13_foto117;13;117;0.0;0.0;0.0;0.0;22.552083333333332;69.79166666666667;90.78125;88.77604166666667;68.02083333333333;55.625;55.677083333333336;55.78125;52.1875;39.791666666666664;34.53125;34.53125;32.760416666666664;29.21875;23.385416666666668;13.515625;30.026041666666668;32.473958333333336;32.5;27.682291666666668;28.75;0.0;0.0;0.0;0.0;13.072916666666666;88.28125;100.0;100.0;95.57291666666667;85.859375;85.0;84.84375;84.84375;80.28645833333333;70.83333333333333;69.50520833333333;60.46875;55.9375;47.526041666666664;27.578125;13.4375;13.4375;13.4375;16.458333333333332;52.994791666666664
Pieza_13_foto118;13;118;0.0;0.0;0.0;23.794642857142858;74.93303571428571;82.27678571428571;60.80357142857143;41.763392857142854;18.839285714285715;21.004464285714285;30.424107142857142;73.75;73.75;69.35267857142857;66.5625;63.035714285714285;43.080357142857146;51.25;51.40625;46.316964285714285;39.53125;32.120535714285715;24.888392857142858;23.28125;19.955357142857142;0.0;0.0;0.0;0.0;62.544642857142854;100.0;100.0;90.84821428571429;74.0625;71.78571428571429;81.83035714285714;87.74553571428571;100.0;100.0;100.0;100.0;71.20535714285714;68.75;68.75;63.41517857142857;56.986607142857146;60.513392857142854;34.933035714285715;9.53125;0.0
