img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_03_foto361;3;361;65;65;63;63;63;62;61;61;60;55;50.78125;49.74759615384615;49.21875;49.21875;49.21875;48.4375;47.65625;47.06711065573771;44.53125;42.96875
Pieza_03_foto376;3;376;51;65;83;89;89;88;88;85;79;73;39.0625;46.70673076923077;60.579819277108435;68.96067415730337;69.2942415730337;67.7645596590909;68.03977272727273;64.21875;58.0498417721519;55.56506849315068
Pieza_03_foto38;3;38;127;129;133;133;130;129;132;132;122;103;59.55954724409449;61.60973837209303;57.5187969924812;67.73966165413533;66.10576923076923;64.10489341085271;66.42992424242425;62.079782196969695;50.56992827868852;45.904126213592235
Pieza_03_foto393;3;393;52;54;55;59;59;59;56;57;57;55;40.625;42.07175925925926;42.68465909090909;43.51165254237288;46.09375;45.76271186440678;43.75;44.010416666666664;43.59923245614035;42.96875
Pieza_03_foto411;3;411;74;77;77;77;79;79;76;68;75;75;57.8125;59.27353896103896;60.15625;60.10551948051948;57.8125;61.59018987341772;55.921052631578945;53.125;56.96875;58.59375
Pieza_03_foto445;3;445;59;60;63;64;63;64;65;64;63;52;46.09375;46.09375;48.4375;50.0;43.75;49.71923828125;50.78125;49.76806640625;43.75;25.78125
Pieza_03_foto463;3;463;58;58;56;61;64;64;64;64;62;62;45.3125;45.043103448275865;43.75;44.45440573770492;47.9736328125;50.0;50.0;49.560546875;48.4375;47.88306451612903
Pieza_03_foto464;3;464;65;68;68;65;71;71;71;70;69;69;50.02403846153846;52.251838235294116;52.676930147058826;49.19471153846154;53.14700704225352;55.46875;55.46875;54.642857142857146;53.192934782608695;53.90625
Pieza_03_foto501;3;501;54;52;97;101;101;101;100;102;102;101;36.37152777777778;34.67548076923077;64.08666237113403;77.9316212871287;78.90625;76.91831683168317;77.984375;79.57261029411765;78.90625;77.43657178217822
Pieza_03_foto533;3;533;58;60;64;64;62;62;60;60;60;66;44.53125;46.770833333333336;47.0458984375;48.08349609375;46.900201612903224;48.4375;46.875;46.875;46.875;49.41998106060606
Pieza_03_foto60;3;60;55;59;65;68;68;70;70;77;76;76;42.41477272727273;46.09375;44.15865384615385;51.114430147058826;52.94117647058823;52.36607142857143;54.419642857142854;59.58806818181818;59.375;56.34251644736842
Pieza_03_foto61;3;61;73;71;80;80;88;88;97;98;98;101;57.03125;51.5625;58.994140625;57.44140625;60.40482954545455;67.8799715909091;72.43878865979381;75.90880102040816;76.5625;78.72060643564356
Pieza_05_foto0112;5;112;54;61;74;83;93;100;112;125;138;141;5.787037037037037;9.336577868852459;15.920608108108109;21.875;27.620967741935484;33.4921875;41.343470982142854;47.56875;59.5901268115942;62.83244680851064
Pieza_05_foto0138;5;138;171;171;171;171;171;171;171;171;171;171;74.85380116959064;74.85380116959064;74.85380116959064;74.85380116959064;74.85380116959064;74.85380116959064;74.85380116959064;74.85380116959064;74.85380116959064;74.85380116959064
Pieza_05_foto0162;5;162;152;145;106;106;86;82;74;62;48;36;83.55263157894737;84.2682595710019;81.53320457584311;79.04471846679543;60.75810291155466;64.06760130593432;57.91657799531815;45.88519177038354;37.35236220472441;19.4663167104112
Pieza_05_foto0178;5;178;137;138;132;130;64;66;75;75;67;67;92.7007299270073;92.02898550724638;96.21212121212122;57.27437916414294;47.37942913385827;51.19303268909568;54.509186351706035;55.56955380577428;49.60629921259842;51.52191796920907
Pieza_05_foto0207;5;207;61;73;80;90;97;100;108;116;126;126;23.118626565121982;31.032251105598103;38.12007874015748;45.809273840769904;51.757447844792594;54.10236220472441;57.84485272674249;64.64838446918273;72.31596050493688;73.67829021372329
Pieza_05_foto0220;5;220;228;228;219;188;191;184;173;162;155;143;56.14035087719298;56.14035087719298;58.44748858447488;68.08510638297872;67.01570680628272;69.56521739130434;73.98843930635839;79.01234567901234;82.58064516129032;89.5104895104895
Pieza_05_foto0234;5;234;58;64;63;70;70;64;62;65;65;66;45.3125;49.52392578125;48.87152777777778;51.238839285714285;50.0;48.4375;48.4375;45.3125;50.78125;51.5625
Pieza_05_foto0235;5;235;59;62;65;65;60;60;54;53;56;56;46.09375;46.09375;48.4375;50.26442307692308;43.90625;45.403645833333336;41.40625;41.40625;42.1875;43.289620535714285
Pieza_05_foto027;5;27;64;73;73;95;110;126;127;138;154;155;4.822834645669292;9.060511271707474;9.071297594649984;21.0940737670949;29.591982820329278;38.557680289963756;42.26548453096906;48.4594317014721;57.63881787503835;62.26568453136906
Pieza_05_foto028;5;28;171;155;98;127;126;63;79;79;73;65;74.85380116959064;77.09677419354838;74.00350765306122;94.40206692913385;78.06919642857143;46.42857142857143;49.90110759493671;61.71875;54.29152397260274;46.79086538461539
Pieza_05_foto04;5;4;105;105;105;105;105;105;105;105;105;105;82.03125;82.03125;82.03125;82.03125;82.03125;82.03125;82.03125;82.03125;82.03125;82.03125
Pieza_05_foto067;5;67;212;212;167;89;50;54;54;49;64;124;60.37735849056604;60.37735849056604;65.91504491017965;27.659761235955056;45.921875;39.68460648148148;45.99326599326599;37.691326530612244;68.27392578125;88.41985887096774
Pieza_05_foto082;5;82;83;96;109;117;131;138;143;157;164;167;0.6212349397590361;9.5947265625;15.632167431192661;20.239049145299145;28.35162213740458;33.56544384057971;36.49475524475525;43.769904458598724;49.25685975609756;52.49812874251497
Pieza_05_foto112;5;112;131;104;104;127;127;119;107;98;88;79;96.85114503816794;81.25;81.12229567307692;93.0179625984252;96.21062992125984;88.1827731092437;80.90683411214954;73.47735969387755;65.86470170454545;61.71875
Pieza_05_foto162;5;162;200;200;200;200;200;200;200;200;183;170;63.5;63.5;63.5;63.5;63.5;63.5;63.5;63.5;69.39890710382514;74.70588235294117
Pieza_05_foto178;5;178;133;133;133;133;133;118;126;133;133;133;95.48872180451127;95.48872180451127;95.48872180451127;95.48872180451127;89.094784204606;92.1259842519685;96.8941382327209;95.48280149191878;95.48872180451127;95.48872180451127
Pieza_05_foto207;5;207;139;127;114;104;101;97;89;77;71;57;91.36690647482014;91.74158348316696;87.29106230142285;79.77740763173834;78.66999298355033;75.13596882863868;68.38892329470052;58.819920237243075;51.54707774204281;42.5887553529493
Pieza_05_foto208;5;208;279;281;281;258;226;229;306;306;306;306;45.878136200716845;45.55160142348755;45.55160142348755;49.6124031007752;56.63716814159292;55.89519650655022;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125
Pieza_05_foto234;5;234;95;66;65;65;66;66;67;97;98;93;74.21875;51.11268939393939;50.78125;50.78125;50.78125;51.5625;51.5625;71.27094072164948;76.39508928571429;72.65625
Pieza_05_foto235;5;235;53;53;52;53;58;58;62;62;53;51;41.40625;41.170400943396224;40.625;39.84375;41.40625;44.935344827586206;43.535786290322584;42.76713709677419;40.079599056603776;39.84375
Pieza_05_foto27;5;27;149;144;132;123;96;96;91;69;69;58;85.23489932885906;88.19444444444444;95.32927702219041;91.08251712438384;47.24409448818898;74.81955380577428;65.68313576187592;49.788885085016545;51.43215793677964;44.21667119196307
Pieza_05_foto28;5;28;324;307;307;237;238;197;245;246;280;312;39.50617283950617;41.693811074918564;41.693811074918564;54.0084388185654;53.78151260504202;64.9746192893401;52.244897959183675;52.03252032520325;45.714285714285715;41.02564102564103
Pieza_05_foto4;5;4;105;105;96;89;76;70;60;50;44;34;82.03125;80.69196428571429;73.05501302083333;64.16783707865169;59.375;54.6875;44.401041666666664;37.703125;34.375;26.5625
Pieza_05_foto82;5;82;173;170;164;120;131;131;123;103;102;79;73.98843930635839;75.29411764705883;76.3719512195122;93.39192708333333;83.77266221374046;97.27457061068702;84.57190040650407;79.69508495145631;75.390625;44.19501582278481
Pieza_06_foto0123;6;123;144;144;144;144;144;144;144;144;144;144;88.88888888888889;88.88888888888889;88.88888888888889;88.88888888888889;88.88888888888889;88.88888888888889;88.88888888888889;88.88888888888889;88.88888888888889;88.88888888888889
Pieza_06_foto0142;6;142;153;153;153;153;153;153;153;153;153;153;83.66013071895425;83.66013071895425;83.66013071895425;83.66013071895425;83.66013071895425;83.66013071895425;83.66013071895425;83.66013071895425;83.66013071895425;83.66013071895425
Pieza_06_foto0194;6;194;54;54;55;55;55;57;58;59;60;61;42.1875;42.1875;42.59943181818182;42.96875;42.96875;43.75;44.53125;45.3125;46.09375;47.01588114754098
Pieza_06_foto0213;6;213;62;55;59;62;61;62;62;53;66;66;47.22782258064516;42.95454545454545;45.3125;48.4375;47.65625;47.946068548387096;47.34122983870968;41.40625;47.90482954545455;45.88068181818182
Pieza_06_foto055;6;55;57;57;59;56;55;65;65;60;62;54;43.77741228070175;44.53125;46.09375;43.75;42.96875;43.55769230769231;47.07932692307692;42.1875;48.4375;42.1875
Pieza_06_foto061;6;61;136;136;124;67;67;90;90;78;56;56;91.64751838235294;92.6470588235294;88.81678427419355;51.5625;52.34375;54.739583333333336;68.56770833333333;41.19591346153846;40.806361607142854;40.415736607142854
Pieza_06_foto123;6;123;144;136;128;111;111;96;79;59;49;47;88.88888888888889;94.11764705882354;91.876220703125;85.84600225225225;80.98958333333333;70.97981770833333;61.06606012658228;42.84957627118644;38.28125;35.03989361702128
Pieza_06_foto142;6;142;135;135;81;80;81;114;114;106;96;84;94.81481481481481;74.38078703703704;63.04976851851852;62.5;38.28125;77.30263157894737;86.32127192982456;79.79805424528301;71.20768229166667;63.541666666666664
Pieza_06_foto194;6;194;58;61;67;67;54;53;53;52;51;51;45.3125;46.157786885245905;49.18376865671642;43.9482276119403;42.1875;40.669221698113205;41.40625;40.625;39.84375;39.84375
Pieza_06_foto213;6;213;64;64;60;60;58;58;59;56;55;59;41.40625;49.06005859375;45.364583333333336;45.598958333333336;45.3125;45.3125;45.564088983050844;43.59654017857143;42.96875;43.73675847457627
Pieza_06_foto55;6;55;51;59;57;61;61;52;53;56;54;54;39.84375;41.326800847457626;40.446820175438596;39.84375;46.247438524590166;40.625;41.096698113207545;42.32700892857143;42.1875;42.1875
Pieza_06_foto61;6;61;132;144;144;144;152;152;146;152;152;152;96.96969696969697;88.88888888888889;88.88888888888889;88.88888888888889;84.21052631578948;84.21052631578948;87.67123287671232;84.21052631578948;84.21052631578948;84.21052631578948
Pieza_07_foto0;7;0;189;189;170;100;95;90;90;91;189;189;67.72486772486772;67.72486772486772;66.70496323529412;74.7890625;73.84868421052632;70.3125;69.77430555555556;70.4584478021978;51.20701058201058;67.72486772486772
