img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70;pw_71;pw_72;pw_73;pw_74;pw_75;pw_76;pw_77;pw_78;pw_79;pw_80;pw_81;pw_82;pw_83;pw_84;pw_85;pw_86;pw_87;pw_88;pw_89;pw_90;pw_91;pw_92;pw_93;pw_94;pw_95;pw_96;pw_97;pw_98;pw_99;pw_100;pw_101;pw_102;pw_103;pw_104;pw_105;pw_106;pw_107;pw_108;pw_109;pw_110;pw_111;pw_112;pw_113;pw_114;pw_115;pw_116;pw_117;pw_118;pw_119;pw_120;pw_121;pw_122;pw_123;pw_124;pw_125;pw_126;pw_127;pw_128;pw_129;pw_130;pw_131;pw_132;pw_133;pw_134;pw_135;pw_136;pw_137;pw_138;pw_139;pw_140;pw_141;pw_142;pw_143;pw_144;pw_145;pw_146;pw_147;pw_148;pw_149;pw_150;pw_151;pw_152;pw_153;pw_154;pw_155;pw_156;pw_157;pw_158;pw_159;pw_160;pw_161;pw_162;pw_163;pw_164;pw_165;pw_166;pw_167;pw_168;pw_169;pw_170;pw_171;pw_172;pw_173;pw_174;pw_175;pw_176;pw_177;pw_178;pw_179;pw_180;pw_181;pw_182;pw_183;pw_184;pw_185;pw_186;pw_187;pw_188;pw_189;pw_190;pw_191;pw_192;pw_193;pw_194;pw_195;pw_196;pw_197;pw_198;pw_199;pw_200
Pieza_01_foto0;1;0;100.0;100.0;100.0;100.0;100.0;26.38888888888889;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;33.333333333333336;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;43.576388888888886;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;51.388888888888886;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;88.54166666666667;39.93055555555556;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;53.645833333333336;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;95.83333333333333;24.65277777777778;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;55.729166666666664;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;55.55555555555556;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;86.11111111111111;68.75;64.23611111111111;48.4375;48.4375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;89.0625;67.1875;67.1875;67.1875;67.1875;100.0;100.0;100.0;100.0;100.0;70.3125;1.2152777777777777;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;11.11111111111111;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;35.416666666666664;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;55.55555555555556;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;57.291666666666664;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;79.16666666666667;21.180555555555557;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;70.48611111111111;0.0;0.0
Pieza_01_foto118;1;118;100.0;100.0;100.0;100.0;100.0;51.171875;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;99.0234375;31.640625;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;12.3046875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;36.1328125;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;95.703125;25.390625;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;87.5;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;95.3125;8.0078125;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;37.109375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;27.34375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;49.0234375;10.546875;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;99.8046875;33.7890625;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;87.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;56.25;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;50.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;50.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;50.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;51.171875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;91.2109375;9.5703125;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;12.5;0.0;0.0
Pieza_01_foto119;1;119;100.0;100.0;100.0;100.0;100.0;100.0;62.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;95.5078125;31.640625;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;93.1640625;13.671875;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;87.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;80.078125;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;62.109375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;53.90625;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;83.203125;4.1015625;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;97.4609375;10.3515625;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;62.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;62.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;46.2890625;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;37.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;37.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;56.0546875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;92.1875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;98.2421875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;64.6484375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;69.3359375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;82.8125;0.0;0.0;0.0
Pieza_01_foto137;1;137;0.0;0.0;0.0;0.0;32.8125;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.5208333333333334;73.4375;100.0;100.0;100.0;100.0;0.0;0.0;10.9375;32.8125;35.416666666666664;84.89583333333333;100.0;100.0;100.0;100.0;0.0;0.0;32.46527777777778;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;1.3888888888888888;91.14583333333333;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;88.88888888888889;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;88.88888888888889;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;88.88888888888889;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;72.39583333333333;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;55.208333333333336;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;37.5;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;33.68055555555556;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;44.44444444444444;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;44.44444444444444;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;35.06944444444444;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;2.951388888888889;99.65277777777777;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;78.29861111111111;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;66.66666666666667;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;66.66666666666667;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;66.66666666666667;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto138;1;138;0.0;0.0;10.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;4.6875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;78.4375;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;60.3125;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;58.90625;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;50.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;50.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;53.75;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;58.90625;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;47.65625;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;28.125;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;10.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;10.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;1.25;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;13.75;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;19.0625;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;2.8125;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto152;1;152;100.0;100.0;100.0;100.0;100.0;100.0;87.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;87.3046875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;64.84375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;25.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;40.234375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;50.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;49.21875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;37.5;0.0;0.0;0.0;100.0;100.0;67.1875;67.1875;95.8984375;100.0;62.3046875;0.0;0.0;0.0;100.0;100.0;0.0;0.0;87.5;100.0;75.0;0.0;0.0;0.0;100.0;100.0;93.75;93.75;99.21875;100.0;64.453125;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;50.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;61.5234375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;62.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;74.8046875;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;87.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;87.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;96.6796875;7.421875;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;11.328125;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;88.4765625;0.0;0.0;0.0
Pieza_01_foto153;1;153;100.0;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;87.15277777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;88.88888888888889;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;96.875;23.958333333333332;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;33.333333333333336;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;23.61111111111111;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;25.34722222222222;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;44.44444444444444;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;44.44444444444444;0.0;0.0;0.0;42.1875;42.1875;42.1875;42.1875;80.72916666666667;100.0;44.44444444444444;0.0;0.0;0.0;10.9375;10.9375;1.2152777777777777;0.0;66.66666666666667;100.0;48.78472222222222;0.0;0.0;0.0;100.0;100.0;30.555555555555557;21.875;73.95833333333333;100.0;55.55555555555556;0.0;0.0;0.0;42.1875;48.611111111111114;100.0;100.0;100.0;100.0;68.57638888888889;0.0;0.0;0.0;0.0;11.11111111111111;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;0.0;85.9375;87.5;100.0;100.0;100.0;100.0;70.65972222222223;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;71.00694444444444;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;68.92361111111111;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;66.66666666666667;0.0;0.0;0.0
Pieza_01_foto167;1;167;0.0;0.0;0.0;26.38888888888889;45.3125;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;87.15277777777777;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;74.65277777777777;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;43.75;65.625;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;28.645833333333332;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;10.76388888888889;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;79.6875;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;77.77777777777777;100.0;100.0;100.0;100.0;57.8125;57.8125;57.8125;57.8125;65.625;92.36111111111111;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;28.125;28.125;28.125;28.125;86.45833333333333;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;30.90277777777778;94.09722222222223;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;68.40277777777777;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;66.66666666666667;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;66.66666666666667;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;51.5625;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;28.645833333333332;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;12.67361111111111;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;93.22916666666667;100.0;25.868055555555557;4.6875
Pieza_01_foto168;1;168;0.0;0.0;0.0;0.0;19.444444444444443;100.0;100.0;100.0;41.84027777777778;0.0;0.0;0.0;0.0;0.0;33.333333333333336;100.0;100.0;100.0;99.30555555555556;85.9375;0.0;0.0;0.0;0.0;31.59722222222222;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;22.22222222222222;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;55.55555555555556;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;55.55555555555556;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;42.708333333333336;87.5;95.83333333333333;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;66.66666666666667;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;69.27083333333333;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;77.77777777777777;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;64.75694444444444;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;55.55555555555556;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;21.875;68.05555555555556;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;76.90972222222223;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;63.19444444444444;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;6.944444444444445;70.83333333333333;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;54.34027777777778;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;44.44444444444444;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;44.44444444444444;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;35.416666666666664;100.0;100.0;100.0;100.0
Pieza_01_foto184;1;184;100.0;100.0;100.0;100.0;100.0;66.66666666666667;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;93.75;54.166666666666664;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;66.66666666666667;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;95.13888888888889;37.5;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;85.9375;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;77.77777777777777;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;86.11111111111111;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;97.74305555555556;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;17.36111111111111;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;22.22222222222222;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;22.22222222222222;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;22.22222222222222;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;26.90972222222222;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;33.333333333333336;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;99.65277777777777;15.972222222222221;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;88.88888888888889;0.0;0.0;0.0;0.0
