img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;h_31;h_32;h_33;h_34;h_35;h_36;h_37;h_38;h_39;h_40;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40
Pieza_01_foto0;1;0;55;55;55;55;56;56;57;57;67;67;67;67;64;64;58;57;57;57;90;91;91;91;91;90;62;62;62;62;66;66;66;66;66;67;67;77;77;77;77;77;58.18181818181818;58.18181818181818;58.18181818181818;58.18181818181818;57.142857142857146;57.142857142857146;56.14035087719298;56.14035087719298;47.76119402985075;47.76119402985075;47.76119402985075;47.76119402985075;50.0;50.0;55.172413793103445;56.14035087719298;56.14035087719298;56.14035087719298;35.55555555555556;35.16483516483517;35.16483516483517;35.16483516483517;35.16483516483517;35.55555555555556;51.61290322580645;51.61290322580645;51.61290322580645;51.61290322580645;48.484848484848484;48.484848484848484;48.484848484848484;48.484848484848484;48.484848484848484;47.76119402985075;47.76119402985075;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156
Pieza_01_foto00;1;0;80;80;80;80;80;70;69;65;65;65;65;65;65;65;65;64;64;82;82;82;81;80;58;58;58;60;64;64;69;69;69;69;59;59;59;59;58;57;57;57;6.6015625;6.6015625;6.6015625;6.6015625;3.4765625;0.26785714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.574695121951219;8.574695121951219;8.346036585365853;7.021604938271605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18115942028985507;0.18115942028985507;0.18115942028985507;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0118;1;118;63;63;63;63;63;62;62;62;62;62;62;62;62;64;64;64;64;62;62;60;60;60;60;60;59;59;57;57;57;58;58;58;55;55;55;61;61;61;61;61;1.2400793650793651;1.2400793650793651;1.2400793650793651;1.2400793650793651;0.9920634920634921;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;1.7578125;1.7578125;1.7578125;1.171875;0.8064516129032258;0.5040322580645161;0.20833333333333334;0.20833333333333334;0.20833333333333334;0.20833333333333334;0.10416666666666667;0.05296610169491525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.4610655737704918
Pieza_01_foto0119;1;119;64;64;64;63;63;65;66;66;66;66;64;63;61;61;61;61;61;62;63;63;63;63;61;60;60;60;60;59;59;60;60;64;64;64;65;69;69;69;69;69;1.7578125;1.7578125;1.66015625;1.2400793650793651;1.2400793650793651;2.1634615384615383;3.0303030303030303;3.0303030303030303;3.0303030303030303;2.272727272727273;1.46484375;0.7440476190476191;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.8064516129032258;1.2400793650793651;1.2400793650793651;1.2400793650793651;0.8928571428571429;0.3073770491803279;0.20833333333333334;0.20833333333333334;0.20833333333333334;0.10416666666666667;0.05296610169491525;0.05296610169491525;0.20833333333333334;0.20833333333333334;1.7578125;1.7578125;1.7578125;2.0673076923076925;5.480072463768116;5.480072463768116;5.480072463768116;5.480072463768116;5.480072463768116
Pieza_01_foto0137;1;137;64;64;64;64;64;64;65;67;67;68;71;71;71;71;71;71;71;70;70;71;72;72;73;74;74;74;75;75;75;75;75;78;78;78;78;58;55;55;55;55;50.0;50.0;50.0;50.0;50.0;50.0;49.23076923076923;47.76119402985075;47.76119402985075;47.05882352941177;45.070422535211264;45.070422535211264;45.070422535211264;45.070422535211264;45.070422535211264;45.070422535211264;45.070422535211264;45.714285714285715;45.714285714285715;45.070422535211264;44.44444444444444;44.44444444444444;43.83561643835616;43.24324324324324;43.24324324324324;43.24324324324324;42.666666666666664;42.666666666666664;42.666666666666664;42.666666666666664;42.666666666666664;41.02564102564103;41.02564102564103;41.02564102564103;41.02564102564103;55.172413793103445;58.18181818181818;58.18181818181818;58.18181818181818;58.18181818181818
Pieza_01_foto0138;1;138;72;72;72;72;72;73;75;75;75;75;76;76;76;76;73;75;76;76;77;77;77;77;77;77;77;77;77;77;78;78;78;79;79;82;82;82;82;70;70;70;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;43.83561643835616;42.666666666666664;42.666666666666664;42.666666666666664;42.666666666666664;42.10526315789474;42.10526315789474;42.10526315789474;42.10526315789474;43.83561643835616;42.666666666666664;42.10526315789474;42.10526315789474;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156;41.55844155844156;41.02564102564103;41.02564102564103;41.02564102564103;40.50632911392405;40.50632911392405;39.02439024390244;39.02439024390244;39.02439024390244;39.02439024390244;45.714285714285715;45.714285714285715;45.714285714285715
Pieza_01_foto0152;1;152;58;58;58;58;58;58;56;56;56;56;56;55;54;54;54;54;53;53;54;55;55;55;55;54;52;52;53;53;53;53;52;51;51;51;51;55;55;55;55;55;4.364224137931035;4.364224137931035;4.364224137931035;4.364224137931035;4.364224137931035;3.394396551724138;2.734375;2.734375;2.734375;2.734375;2.34375;1.7045454545454546;1.4467592592592593;1.4467592592592593;1.4467592592592593;1.1574074074074074;0.9433962264150944;0.9433962264150944;1.4467592592592593;2.0454545454545454;2.0454545454545454;2.0454545454545454;1.7613636363636365;0.8680555555555556;0.5408653846153846;0.5408653846153846;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.8254716981132075;0.3605769230769231;0.24509803921568626;0.24509803921568626;0.24509803921568626;0.24509803921568626;2.0454545454545454;2.0454545454545454;2.0454545454545454;2.0454545454545454;2.0454545454545454
Pieza_01_foto0153;1;153;69;69;70;71;71;71;71;70;70;70;70;70;70;70;69;68;68;68;68;68;68;68;68;64;64;64;63;63;63;63;65;65;65;65;58;58;62;62;62;62;5.480072463768116;5.480072463768116;6.428571428571429;7.438380281690141;7.438380281690141;7.438380281690141;7.042253521126761;6.428571428571429;6.428571428571429;6.428571428571429;6.428571428571429;6.428571428571429;6.428571428571429;5.892857142857143;4.981884057971015;4.595588235294118;4.595588235294118;4.595588235294118;4.595588235294118;4.595588235294118;4.595588235294118;4.595588235294118;2.7573529411764706;1.7578125;1.7578125;1.46484375;1.2400793650793651;1.2400793650793651;1.2400793650793651;1.2400793650793651;2.019230769230769;2.355769230769231;2.355769230769231;0.0;0.0;0.0;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258
Pieza_01_foto0184;1;184;64;64;65;67;67;67;67;66;66;66;66;66;65;65;65;65;63;62;62;62;62;62;60;60;61;61;61;61;61;61;62;62;62;62;66;68;68;68;68;68;1.7578125;1.7578125;2.355769230769231;3.451492537313433;3.7779850746268657;3.7779850746268657;3.544776119402985;3.0303030303030303;3.0303030303030303;3.0303030303030303;3.0303030303030303;2.9356060606060606;2.355769230769231;2.355769230769231;2.355769230769231;1.7788461538461537;0.9920634920634921;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.4536290322580645;0.20833333333333334;0.20833333333333334;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.4610655737704918;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;2.509469696969697;4.595588235294118;4.595588235294118;4.595588235294118;4.595588235294118;4.595588235294118
Pieza_01_foto0185;1;185;65;65;65;61;61;61;62;63;63;63;63;62;62;63;63;63;61;61;61;59;59;59;57;57;57;57;57;57;57;57;58;58;58;58;58;59;59;59;59;59;12.307692307692308;12.307692307692308;9.663461538461538;7.377049180327869;7.377049180327869;7.377049180327869;8.518145161290322;9.722222222222221;9.722222222222221;9.722222222222221;9.027777777777779;8.518145161290322;8.518145161290322;9.722222222222221;9.722222222222221;8.829365079365079;7.377049180327869;7.377049180327869;6.147540983606557;5.296610169491525;5.296610169491525;4.713983050847458;3.508771929824561;3.508771929824561;3.508771929824561;3.508771929824561;3.508771929824561;3.508771929824561;3.508771929824561;3.508771929824561;4.364224137931035;4.364224137931035;4.364224137931035;4.364224137931035;4.364224137931035;5.296610169491525;5.296610169491525;5.296610169491525;5.296610169491525;5.296610169491525
