img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20
Pieza_06_foto29;6;29;47.1875;47.1875;60.28409090909091;100.0;50.9375;0.0;26.832386363636363;49.14772727272727;43.125;42.96875;100.0;100.0;100.0;100.0;31.022727272727273;0.0;22.571022727272727;32.69886363636363;27.96875;27.96875
Pieza_06_foto290;6;290;0.0;0.0;0.0;47.53605769230769;99.4110576923077;100.0;100.0;91.79086538461539;76.49038461538461;72.34375;0.0;0.9254807692307693;39.61538461538461;100.0;100.0;100.0;83.48557692307692;36.67067307692308;34.85576923076923;40.0
Pieza_06_foto296;6;296;0.0;0.0;0.0;0.0;0.0;4.196428571428571;14.6875;14.6875;14.6875;14.6875;0.0;0.0;0.0;19.21875;61.785714285714285;83.83928571428571;80.11160714285714;77.12053571428571;65.46875;65.46875
Pieza_06_foto30;6;30;3.5735887096774195;13.215725806451612;2.4495967741935485;35.15120967741935;1.2399193548387097;91.8195564516129;38.78528225806452;86.00806451612904;63.46774193548387;7.948588709677419;11.466733870967742;76.69858870967742;31.471774193548388;86.64314516129032;50.846774193548384;22.69657258064516;13.850806451612904;8.961693548387096;0.0;0.0
Pieza_06_foto309;6;309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.379464285714286;25.0;24.665178571428573;10.446428571428571;0.0;0.0;0.0
Pieza_06_foto31;6;31;0.0;13.088235294117647;30.21139705882353;17.803308823529413;27.53676470588235;0.0;6.875;18.079044117647058;0.0;0.0;0.0;38.713235294117645;79.2279411764706;23.96139705882353;57.849264705882355;0.0;19.58639705882353;55.96507352941177;16.020220588235293;0.0
Pieza_06_foto315;6;315;0.0;0.0;18.53125;81.71875;93.90625;97.125;84.05208333333333;69.84375;49.84375;43.90625;0.0;17.5;80.55208333333333;100.0;100.0;78.01041666666667;63.135416666666664;56.041666666666664;37.552083333333336;21.40625
Pieza_06_foto316;6;316;0.0;0.0;45.833333333333336;68.94791666666667;100.0;100.0;83.0;65.88541666666667;49.114583333333336;48.125;0.0;5.65625;84.11458333333333;100.0;100.0;100.0;74.88541666666667;50.572916666666664;34.0625;28.59375
Pieza_06_foto32;6;32;72.89375;85.4;100.0;82.825;35.9625;62.8375;59.39375;26.5625;29.375;17.96875;100.0;100.0;100.0;100.0;48.21875;25.69375;35.9375;0.0;9.125;13.13125
Pieza_06_foto328;6;328;0.0;0.0;0.0;1.6840277777777777;59.13194444444444;62.5;87.23958333333333;99.80902777777777;41.857638888888886;20.15625;0.0;0.0;0.0;46.979166666666664;88.90625;96.30208333333333;100.0;77.60416666666667;31.84027777777778;31.26736111111111
Pieza_06_foto329;6;329;21.875;28.89423076923077;34.43509615384615;47.98076923076923;49.54326923076923;16.177884615384617;14.84375;24.84375;21.89903846153846;30.3125;4.53125;5.024038461538462;83.93028846153847;78.32932692307692;21.5625;32.94471153846154;36.51442307692308;34.6875;32.72836538461539;31.71875
Pieza_06_foto38;6;38;15.084821428571429;50.620535714285715;2.0580357142857144;46.098214285714285;63.513392857142854;74.08482142857143;99.17857142857143;56.96875;36.674107142857146;63.441964285714285;29.53125;21.638392857142858;55.535714285714285;77.41071428571429;38.86607142857143;67.65625;63.69642857142857;59.21875;25.763392857142858;52.482142857142854
Pieza_06_foto39;6;39;0.0;0.0;1.1079545454545454;43.86363636363637;44.21875;59.64488636363637;100.0;51.13636363636363;0.0;0.0;0.0;0.0;1.40625;90.625;96.875;100.0;79.0625;53.80681818181818;0.0;0.0
