img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60
Pieza_05_foto40;5;40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.711805555555555;25.225694444444443;37.53472222222222;46.64930555555556;59.0625;62.638888888888886;69.96527777777777;82.13541666666667;60.572916666666664;67.01388888888889;68.90625;56.302083333333336;50.0;50.0;55.885416666666664;64.21875;45.43402777777778;24.913194444444443;24.54861111111111;0.0;0.0;10.76388888888889;26.28472222222222;34.87847222222222;49.13194444444444;57.96875;70.3125;75.46875;75.46875;75.46875;89.46180555555556;88.28125;97.39583333333333;100.0;100.0;100.0;100.0;96.80555555555556;72.60416666666667;57.1875;43.958333333333336;31.5625;36.40625;36.02430555555556;19.0625;19.0625;13.92361111111111;11.770833333333334;11.5625
Pieza_05_foto41;5;41;0.0;0.0;0.0;0.0;0.0;21.380208333333332;89.84375;89.84375;90.72916666666667;91.40625;91.40625;38.4375;16.09375;16.09375;15.234375;15.0;5.0;0.0;0.0;0.0;0.0;0.0;82.21354166666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;3.9583333333333335;49.609375;76.25;76.25;74.08854166666667;73.75;67.83854166666667;36.25;36.25;36.25;36.25;49.244791666666664;97.265625;99.0625;94.79166666666667;89.53125;89.53125;91.11979166666667;100.0;100.0;100.0;100.0;100.0;69.55729166666667;67.5;67.5
Pieza_05_foto42;5;42;45.78125;45.78125;45.78125;45.78125;45.78125;45.78125;45.78125;45.78125;58.802083333333336;77.70833333333333;82.96875;82.96875;82.96875;82.96875;82.96875;80.52083333333333;67.96875;65.3125;65.3125;65.3125;65.3125;65.3125;65.3125;65.3125;65.3125;65.3125;65.3125;51.09375;22.03125;2.5520833333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.145833333333333;41.5625;41.71875;56.25;58.90625;58.90625;58.90625;58.90625;58.90625;46.197916666666664;14.114583333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto45;5;45;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;97.5;94.296875;93.125;92.1875;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;62.34375;18.125;17.1875;5.625;5.625;5.625;5.625;5.625;5.625;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto46;5;46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.21875;18.125;32.03125;35.546875;48.203125;57.65625;61.25;61.25;61.25;61.25;43.515625;39.375;30.9375;20.15625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto47;5;47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.75;17.5;17.5;17.5;16.171875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8671875;21.6796875;23.125;23.125;23.125;18.90625;18.90625;18.90625;18.90625;26.875;49.140625;62.421875;70.0;68.6328125;53.4375;37.96875;33.6328125;27.65625;27.65625;18.4375;0.0;0.0;0.0;0.0
Pieza_05_foto51;5;51;0.0;0.0;0.0;9.9375;20.875;23.5;31.78125;97.15625;100.0;100.0;84.4375;52.34375;52.34375;52.34375;74.125;100.0;100.0;100.0;100.0;100.0;86.375;68.375;49.375;28.6875;7.78125;0.0;0.0;0.0;0.0;0.0;31.875;31.875;25.125;20.625;20.625;22.125;47.03125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;60.1875;59.53125;59.53125;61.59375;84.65625;100.0;100.0;79.78125;76.25;76.25;76.25;76.25
Pieza_05_foto52;5;52;100.0;100.0;100.0;100.0;86.09375;80.625;80.625;80.625;80.625;80.625;100.0;100.0;100.0;100.0;100.0;92.29166666666667;37.447916666666664;8.229166666666666;0.0;0.0;0.0;6.041666666666667;29.427083333333332;45.78125;63.90625;63.90625;63.90625;58.802083333333336;40.416666666666664;22.604166666666668;100.0;100.0;100.0;100.0;43.59375;14.0625;14.0625;14.0625;14.0625;14.0625;78.17708333333333;100.0;100.0;100.0;100.0;100.0;51.041666666666664;21.354166666666668;13.4375;13.4375;13.4375;13.4375;26.5625;39.84375;50.3125;50.3125;50.3125;48.541666666666664;37.1875;23.90625
Pieza_05_foto53;5;53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.21875;20.703125;34.6875;34.6875;34.6875;34.6875;34.6875;34.6875;34.6875;28.125;16.640625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.1875;28.515625;30.3125;54.296875;85.0;92.5;92.5;92.5;92.5;92.109375;88.75;88.75;88.75;86.640625;75.46875;75.46875
Pieza_05_foto54;5;54;71.5625;71.5625;71.5625;71.5625;81.5625;100.0;100.0;91.640625;80.9765625;70.46875;70.3125;70.3125;70.3125;70.3125;71.0546875;81.0546875;82.96875;82.96875;82.96875;82.96875;82.96875;82.96875;82.96875;87.96875;93.75;93.75;93.75;93.75;80.546875;51.25;59.84375;59.84375;59.84375;59.84375;65.78125;84.8046875;100.0;100.0;100.0;98.0859375;73.2421875;52.1484375;45.625;45.625;45.625;57.6171875;94.6875;94.6875;94.6875;94.6875;54.4921875;50.0;50.0;50.0;50.2734375;51.09375;51.09375;51.09375;51.09375;37.8125
