img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70;pw_71;pw_72;pw_73;pw_74;pw_75;pw_76;pw_77;pw_78;pw_79;pw_80
Pieza_06_foto165;6;165;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.265625;37.1875;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;18.4375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;51.796875;21.09375;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125;18.28125
Pieza_06_foto166;6;166;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;90.57291666666667;58.958333333333336;41.458333333333336;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.34375;30.989583333333332;28.90625;28.90625;28.90625;28.90625;28.90625;28.90625;28.90625;25.885416666666668;19.84375;19.84375;19.84375;19.84375;19.84375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;96.09375;78.90625;78.90625;78.90625;78.90625;78.90625;78.90625;78.90625;78.90625;78.90625;78.90625;78.90625;78.90625;78.90625;87.44791666666667;91.71875;91.71875;91.71875;91.71875;91.71875;51.145833333333336;24.84375;23.59375;23.59375;23.59375;23.59375
Pieza_06_foto167;6;167;32.03125;32.03125;32.03125;32.03125;32.03125;32.03125;16.5625;16.5625;20.416666666666668;32.96875;38.177083333333336;43.90625;47.291666666666664;76.14583333333333;90.0;90.0;90.0;90.0;93.33333333333333;96.14583333333333;81.875;67.34375;65.83333333333333;38.229166666666664;19.375;14.947916666666666;11.875;11.5625;0.0;0.0;0.0;0.0;4.322916666666667;52.65625;95.20833333333333;100.0;100.0;100.0;95.3125;65.3125;17.34375;17.34375;17.34375;17.34375;17.34375;17.34375;17.34375;17.34375;17.34375;17.34375;32.552083333333336;40.15625;64.11458333333333;72.5;72.5;72.5;65.0;50.520833333333336;41.875;39.53125;39.53125;38.697916666666664;20.416666666666668;0.0;0.0;0.0;0.0;0.0;11.770833333333334;25.364583333333332;53.28125;72.34375;91.61458333333333;100.0;100.0;100.0;100.0;100.0;98.80208333333333;87.39583333333333
Pieza_06_foto168;6;168;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;54.21875;48.59375;48.59375;48.59375;81.09375;81.09375;81.09375;81.09375;81.09375;81.09375;81.09375;81.09375;80.859375;20.0;20.0;20.0;16.5625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;76.71875;77.65625;78.59375;78.59375;78.59375;78.59375;78.59375;78.59375;78.59375;55.46875;17.96875;17.96875;11.953125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto169;6;169;18.75;18.75;18.75;18.75;30.8984375;51.640625;55.625;55.625;55.625;45.078125;15.78125;15.78125;7.890625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;50.1171875;29.84375;29.84375;29.84375;28.671875;23.5546875;15.78125;15.9375;33.75;27.7734375;20.4296875;20.3125;4.4921875;0.0;0.0;0.0;5.9375;23.75;23.75;33.125;42.5;38.28125;38.28125;38.28125;7.1484375;0.0;0.0;0.0;0.0;0.0;0.0;4.1015625;76.4453125;100.0;100.0;100.0;95.234375;90.46875;90.46875;86.5625;47.6171875
Pieza_06_foto17;6;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.6875;75.234375;80.15625;80.15625;79.9609375;71.40625;71.40625;71.40625;65.3125;16.875;11.71875;11.71875;11.71875;11.953125;40.3515625;49.6875;49.6875;49.6875;51.7578125;66.484375;72.96875;77.65625;77.65625;73.3203125;58.28125;12.734375;0.0;0.0;0.0;0.0;0.0;0.0;7.2265625;32.03125;49.21875;49.2578125;52.5390625;71.71875;74.84375;74.84375;74.84375;85.15625;89.21875;89.21875;89.21875;89.21875;87.96875;79.0625;68.9453125;51.796875;29.5703125;26.953125;25.4296875;18.0078125;2.890625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto173;6;173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.541666666666666;13.125;22.135416666666668;41.25;49.192708333333336;55.442708333333336;58.072916666666664;67.96875;60.625;53.28125;46.796875;19.84375;19.84375;20.260416666666668;40.130208333333336;41.5625;42.708333333333336;47.942708333333336;62.890625;100.0;99.97395833333333;88.125;75.26041666666667;63.515625;60.520833333333336;46.09375;17.864583333333332;36.5625;36.5625;62.864583333333336;13.90625;13.90625;13.958333333333334;18.515625;26.666666666666668;53.411458333333336;57.447916666666664;61.458333333333336;74.47916666666667;77.96875;96.328125;100.0;89.0625;76.35416666666667;52.8125;39.84375;39.84375;40.625;41.09375;48.776041666666664;50.3125;52.942708333333336;61.119791666666664;69.21875;65.234375;38.776041666666664;25.260416666666668;14.6875;13.776041666666666;4.270833333333333;1.171875;0.0;0.0;0.0;0.0;0.0;59.947916666666664;84.53125;84.53125;86.97916666666667
Pieza_06_foto174;6;174;0.0;0.0;0.0;0.0;0.0;0.0;31.6796875;49.6875;49.6875;49.6875;41.6015625;3.203125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.5546875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;30.625;7.5;7.5;7.5;7.5;7.5;7.5;1.875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.15625;44.21875;44.21875;57.65625;57.96875;57.96875;75.8984375;87.0703125;87.8125;87.8125;87.8125;74.1015625;60.703125;51.875;50.7421875;27.1875;21.09375;21.09375;21.09375;21.09375;21.09375;21.09375;2.5;0.0;0.0;0.0
Pieza_06_foto175;6;175;100.0;100.0;100.0;81.171875;79.0625;79.0625;79.0625;86.875;100.0;100.0;100.0;100.0;85.859375;71.71875;71.71875;71.71875;71.71875;71.71875;71.71875;54.7265625;49.0625;49.0625;49.0625;49.0625;49.0625;49.0625;49.0625;50.546875;53.4375;53.4375;53.4375;53.4375;43.7109375;28.0859375;24.53125;24.53125;24.53125;24.53125;23.9453125;22.65625;100.0;100.0;100.0;90.859375;81.71875;81.71875;81.71875;82.34375;100.0;100.0;100.0;100.0;68.203125;32.1875;32.1875;32.1875;32.1875;32.1875;32.1875;22.578125;21.25;21.25;21.25;21.25;21.25;21.25;15.703125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.515625;21.875;21.875;21.875
Pieza_06_foto176;6;176;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;85.9765625;45.46875;45.46875;45.46875;45.46875;45.46875;45.46875;45.46875;41.71875;13.90625;13.90625;13.90625;13.90625;13.90625;13.90625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.65625;72.34375;72.34375;72.34375;72.34375;72.34375;72.34375;68.4765625;63.7890625;63.125;63.125;63.125;63.125;63.125;53.0859375;42.03125;42.03125;42.03125;42.03125;42.03125;42.03125;42.03125;37.3828125;6.2890625;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto177;6;177;45.15625;45.15625;45.15625;45.15625;45.15625;45.15625;45.15625;58.75;65.57291666666667;93.28125;100.0;100.0;100.0;100.0;100.0;74.63541666666667;68.28125;68.28125;68.28125;68.28125;68.28125;68.54166666666667;69.0625;69.0625;69.0625;59.84375;59.84375;58.125;54.427083333333336;53.541666666666664;49.6875;49.6875;49.6875;49.6875;55.78125;49.6875;28.90625;31.09375;36.770833333333336;37.1875;93.125;93.125;93.125;93.125;93.125;93.17708333333333;93.64583333333333;94.375;94.84375;100.0;100.0;100.0;88.33333333333333;76.51041666666667;71.92708333333333;68.85416666666667;67.70833333333333;66.61458333333333;65.625;88.33333333333333;87.34375;86.25;80.72916666666667;71.5625;71.5625;70.3125;70.3125;70.26041666666667;67.65625;64.84375;62.1875;57.447916666666664;52.65625;46.875;41.875;32.03125;30.78125;27.65625;17.135416666666668;7.552083333333333
