img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20
Pieza_01_foto0219;1;219;57;59;60;60;61;64;64;64;65;65;69;69;65;73;73;76;76;71;77;77;26.343201754385966;28.416313559322035;30.0;30.104166666666668;31.378073770491802;33.447265625;35.25390625;35.25390625;35.84134615384615;36.5625;40.0588768115942;41.6893115942029;36.5625;46.767979452054796;47.28167808219178;51.21299342105263;48.416940789473685;44.56426056338028;52.780032467532465;52.780032467532465
Pieza_01_foto0220;1;220;59;64;64;64;63;66;66;65;64;62;66;67;69;69;69;69;68;73;78;79;15.254237288135593;18.798828125;20.5322265625;17.7001953125;17.73313492063492;22.75094696969697;22.017045454545453;20.91346153846154;19.4580078125;18.371975806451612;22.064393939393938;23.67070895522388;25.452898550724637;26.17753623188406;26.17753623188406;26.0643115942029;25.02297794117647;28.403253424657535;34.655448717948715;38.29113924050633
Pieza_01_foto0237;1;237;90;90;90;90;90;90;90;90;67;67;90;90;90;90;90;90;90;90;90;90;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;95.5223880597015;95.5223880597015;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111
Pieza_01_foto0254;1;254;60;64;64;64;59;58;65;74;74;63;67;73;76;76;74;74;74;67;69;71;30.104166666666668;34.9853515625;35.25390625;32.1044921875;27.966101694915253;27.586206896551722;33.65384615384615;47.65625;44.51013513513514;33.95337301587302;38.922574626865675;42.01626712328767;51.39802631578947;49.629934210526315;48.648648648648646;48.648648648648646;39.40033783783784;35.70429104477612;41.87047101449275;44.56426056338028
Pieza_01_foto0255;1;255;57;57;55;57;59;59;59;74;74;69;69;66;67;67;67;70;70;70;70;70;26.343201754385966;26.20614035087719;23.892045454545453;25.74013157894737;28.840042372881356;28.840042372881356;28.840042372881356;45.7347972972973;48.226351351351354;41.87047101449275;39.10778985507246;37.878787878787875;38.922574626865675;39.202425373134325;39.202425373134325;42.276785714285715;43.214285714285715;43.214285714285715;43.214285714285715;43.214285714285715
Pieza_01_foto0276;1;276;66;68;73;79;79;77;77;73;73;73;73;70;66;66;66;71;71;71;67;66;96.96969696969697;94.11764705882354;87.67123287671232;81.0126582278481;81.0126582278481;83.11688311688312;83.11688311688312;87.67123287671232;87.67123287671232;87.67123287671232;87.67123287671232;91.42857142857143;96.96969696969697;96.96969696969697;96.96969696969697;90.14084507042253;90.14084507042253;90.14084507042253;95.5223880597015;96.96969696969697
Pieza_01_foto0277;1;277;69;68;68;68;68;67;67;67;67;65;65;65;64;63;63;63;62;62;61;60;92.7536231884058;94.11764705882354;94.11764705882354;94.11764705882354;94.11764705882354;95.5223880597015;95.5223880597015;95.5223880597015;95.5223880597015;98.46153846153847;98.46153846153847;98.46153846153847;99.609375;98.4375;98.4375;98.04067460317461;96.875;95.43850806451613;94.28790983606558;93.75
Pieza_01_foto0295;1;295;55;55;55;53;53;53;53;53;55;55;59;59;58;59;59;58;58;61;62;62;41.02272727272727;41.02272727272727;38.86363636363637;38.20754716981132;38.20754716981132;38.20754716981132;38.20754716981132;38.20754716981132;40.73863636363637;41.02272727272727;45.86864406779661;46.29237288135593;45.28556034482759;46.13347457627118;46.610169491525426;45.28556034482759;45.28556034482759;47.41290983606557;51.033266129032256;51.033266129032256
Pieza_01_foto0318;1;318;70;70;70;69;69;69;68;66;66;66;65;64;63;63;63;63;63;63;63;63;91.42857142857143;91.42857142857143;91.42857142857143;92.7536231884058;92.7536231884058;92.7536231884058;94.11764705882354;96.96969696969697;96.96969696969697;96.96969696969697;98.46153846153847;99.560546875;98.4375;98.4375;98.4375;98.4375;98.4375;98.4375;98.4375;98.4375
Pieza_01_foto0319;1;319;84;85;85;85;79;79;79;79;80;80;76;76;63;79;84;84;83;82;78;75;76.19047619047619;75.29411764705883;75.29411764705883;75.29411764705883;81.0126582278481;81.0126582278481;81.0126582278481;81.0126582278481;80.0;80.0;84.21052631578948;84.18996710526316;78.54662698412699;70.33227848101266;76.19047619047619;76.19047619047619;77.10843373493977;78.04878048780488;82.05128205128206;85.33333333333333
Pieza_01_foto0343;1;343;59;57;58;58;55;55;55;58;58;57;57;56;56;56;56;53;57;57;56;56;45.97457627118644;43.85964912280702;45.28556034482759;44.7198275862069;41.02272727272727;41.02272727272727;41.02272727272727;44.692887931034484;45.28556034482759;43.85964912280702;43.20175438596491;42.43861607142857;42.43861607142857;42.43861607142857;39.174107142857146;38.20754716981132;43.530701754385966;43.25657894736842;42.43861607142857;42.43861607142857
Pieza_01_foto0344;1;344;56;58;58;58;62;62;62;54;55;55;55;54;55;57;61;61;54;57;57;57;42.43861607142857;43.453663793103445;45.28556034482759;41.97198275862069;45.060483870967744;51.033266129032256;42.54032258064516;39.61226851851852;41.02272727272727;41.02272727272727;39.94318181818182;38.541666666666664;40.39772727272727;43.00986842105263;49.513319672131146;45.82479508196721;39.61226851851852;42.68092105263158;43.85964912280702;43.85964912280702
Pieza_01_foto0368;1;368;71;71;70;67;64;63;66;68;68;61;61;61;47;68;68;68;65;65;65;62;90.14084507042253;90.14084507042253;91.42857142857143;95.5223880597015;99.9755859375;98.4375;95.83333333333333;94.11764705882354;93.359375;95.3125;95.3125;24.59016393442623;0.0;72.5873161764706;94.11764705882354;94.11764705882354;98.46153846153847;98.46153846153847;96.6826923076923;96.875
